category,telugu_count,telugu_share,english_train_count,english_train_share
autos,239,0.005842663667921576,3071,0.030248111339840632
entertainment,12,0.0002933554979709578,802,0.007899376520531484
finance,4066,0.09939862122915953,5916,0.05827021383474347
foodanddrink,34,0.0008311739109177138,1704,0.01678371270696465
games,0,0.0,1,9.849596659016814e-06
health,868,0.021219381019899283,2929,0.028849468614260246
lifestyle,613,0.014985576688016427,4674,0.04603701478424459
movies,2526,0.06175133232288662,815,0.008027421277098703
music,335,0.00818950765168924,1263,0.012440040580338235
news,1439,0.03517821346501736,5186,0.051080008273661194
newscrime,805,0.019679264655551754,3676,0.036207117318545805
newslocalpolitics,0,0.0,1,9.849596659016814e-06
newspolitics,829,0.02026597565149367,5161,0.050833768357185775
newsscienceandtechnology,835,0.020412653400479146,2789,0.027470525081997894
newstechnology,0,0.0,3,2.954878997705044e-05
newstrends,100,0.002444629149757982,2715,0.026741654929230647
newsvideos,0,0.0,1,9.849596659016814e-06
newsworld,22059,0.5392607441451132,16994,0.16738404562333173
sports,2540,0.06209358040385274,32020,0.3153840850217184
travel,1132,0.027673201975260353,4954,0.04879490184876929
tv,77,0.0018823644453136459,1323,0.013031016379879244
video,588,0.014374419400576932,1257,0.012380943000384134
weather,1809,0.04422334131912189,4272,0.04207747692731983
