user_id,user_index,rank,story_id,headline,headline_normalized,score
U100950,1060,1,666456,ఇప్పట్లో ధోనీ రిటైర్ అవ్వడు : ఎమ్మెస్కే,ఇప్పట్లో ధోనీ రిటైర్ అవ్వడు : ఎమ్మెస్కే,5.033331871032715
U100950,1060,2,2529927,ఆకాశ్దీప్ ఆడేనా?,ఆకాశ్దీప్ ఆడేనా?,5.0331010818481445
U100950,1060,3,2529957,ఆకాశ్దీప్ ఆడేనా?,ఆకాశ్దీప్ ఆడేనా?,5.0331010818481445
U100950,1060,4,2530007,ఆకాశ్దీప్ ఆడేనా?,ఆకాశ్దీప్ ఆడేనా?,5.0331010818481445
U100950,1060,5,540597,వెస్టిండీస్ పర్యటనకు భారత జట్టు ప్రకటన,వెస్టిండీస్ పర్యటనకు భారత జట్టు ప్రకటన,5.032987117767334
U100950,1060,6,2543335,రోహిత్కు ముందే చెప్పేశారా?,రోహిత్కు ముందే చెప్పేశారా?,5.032433032989502
U100950,1060,7,2542932,రోహిత్కు ముందే చెప్పేశారా?,రోహిత్కు ముందే చెప్పేశారా?,5.032433032989502
U100950,1060,8,2543414,రోహిత్కు ముందే చెప్పేశారా?,రోహిత్కు ముందే చెప్పేశారా?,5.032433032989502
U100950,1060,9,2544989,‘రిజర్వ్’ పేస్లో ,‘రిజర్వ్’ పేస్లో,5.0323166847229
U100950,1060,10,2545264,‘రిజర్వ్’ పేస్లో ,‘రిజర్వ్’ పేస్లో,5.0323166847229
U106375,7087,1,386042,‘మాస్టర్ చెఫ్’కి హోస్ట్ గా తమన్నా !,‘మాస్టర్ చెఫ్’కి హోస్ట్ గా తమన్నా !,4.27455997467041
U106375,7087,2,2520361,బంజారాహిల్స్లో  లీలా లగ్జరీ హోటల్ ప్రారంభం,బంజారాహిల్స్లో లీలా లగ్జరీ హోటల్ ప్రారంభం,4.203061580657959
U106375,7087,3,2510857,హైటెక్ సిటీలో మరో స్టార్ హోటల్,హైటెక్ సిటీలో మరో స్టార్ హోటల్,4.198145866394043
U106375,7087,4,2510849,హైటెక్ సిటీలో మరో స్టార్ హోటల్,హైటెక్ సిటీలో మరో స్టార్ హోటల్,4.198145866394043
U106375,7087,5,2533050,టూరిజం హబ్గా జిల్లా..,టూరిజం హబ్గా జిల్లా..,4.192087650299072
U106375,7087,6,2481807,హైదరాబాద్లో విదేశీ పర్యాటకులను ఆకర్షించే కట్టడాలు,హైదరాబాద్లో విదేశీ పర్యాటకులను ఆకర్షించే కట్టడాలు,4.1896071434021
U106375,7087,7,2504268,హంసలదీవిలో పర్యాటకుల సందడి,హంసలదీవిలో పర్యాటకుల సందడి,4.1855926513671875
U106375,7087,8,2541455,పర్యాటకులు 1.92 కోట్లు,పర్యాటకులు 1.92 కోట్లు,4.181280136108398
U106375,7087,9,2526343,మహా కుంభమేళా యాత్ర,మహా కుంభమేళా యాత్ర,4.172583103179932
U106375,7087,10,2531693,విమానాశ్రయంలో పర్యాటక సమాచార కేంద్రం ,విమానాశ్రయంలో పర్యాటక సమాచార కేంద్రం,4.1704020500183105
U107331,8150,1,2528868,జమిలిపై ముందుకు!,జమిలిపై ముందుకు!,2.971195936203003
U107331,8150,2,2505621,25 నుంచి పార్లమెంటు శీతాకాల సమావేశాలు,25 నుంచి పార్లమెంటు శీతాకాల సమావేశాలు,2.965749979019165
U107331,8150,3,2517765,పార్లమెంటు ముందుకు,పార్లమెంటు ముందుకు,2.9469287395477295
U107331,8150,4,2518106,పార్లమెంటు ముందుకు,పార్లమెంటు ముందుకు,2.9469287395477295
U107331,8150,5,2518272,పార్లమెంటు ముందుకు,పార్లమెంటు ముందుకు,2.93685245513916
U107331,8150,6,2503356,5న రాష్ట్రానికి రాహుల్,5న రాష్ట్రానికి రాహుల్,2.9360556602478027
U107331,8150,7,2517732,పార్లమెంటు ముందుకు 16 బిల్లులు!,పార్లమెంటు ముందుకు 16 బిల్లులు!,2.9285006523132324
