user_id,top_k,unique_story_ids,story_id_uniqueness,story_id_duplicate_rate,unique_headlines,headline_uniqueness,headline_duplicate_rate
U18219,10,10,1.0,0.0,4,0.4,0.6
U323756,10,10,1.0,0.0,7,0.7,0.30000000000000004
U472511,10,10,1.0,0.0,7,0.7,0.30000000000000004
U48303,10,10,1.0,0.0,7,0.7,0.30000000000000004
U492046,10,10,1.0,0.0,5,0.5,0.5
U523035,10,10,1.0,0.0,4,0.4,0.6
U605742,10,10,1.0,0.0,3,0.3,0.7
U673004,10,10,1.0,0.0,10,1.0,0.0
U748208,10,10,1.0,0.0,2,0.2,0.8
U819406,10,10,1.0,0.0,2,0.2,0.8
