user_id,user_index,rank,story_id,headline,headline_normalized,score
U18219,91325,1,2483501,పండగ సీజన్పై ‘ఆటో’ ఆశలు,పండగ సీజన్పై ‘ఆటో’ ఆశలు,1.5004618167877197
U18219,91325,2,2483772,పండగ సీజన్పై ‘ఆటో’ ఆశలు,పండగ సీజన్పై ‘ఆటో’ ఆశలు,1.5004618167877197
U18219,91325,3,2483429,పండగ సీజన్పై ‘ఆటో’ ఆశలు,పండగ సీజన్పై ‘ఆటో’ ఆశలు,1.5004618167877197
U18219,91325,4,2522969,స్కోడా కైలాక్ బుకింగ్స్ షురూ,స్కోడా కైలాక్ బుకింగ్స్ షురూ,1.49680757522583
U18219,91325,5,2523169,స్కోడా కైలాక్ బుకింగ్స్ షురూ,స్కోడా కైలాక్ బుకింగ్స్ షురూ,1.49680757522583
U18219,91325,6,2523399,స్కోడా కైలాక్ బుకింగ్స్ షురూ,స్కోడా కైలాక్ బుకింగ్స్ షురూ,1.49680757522583
U18219,91325,7,2524309,హోండా అమేజ్ కొత్త వెర్షన్,హోండా అమేజ్ కొత్త వెర్షన్,1.4873408079147339
U18219,91325,8,2524737,హోండా అమేజ్ కొత్త వెర్షన్,హోండా అమేజ్ కొత్త వెర్షన్,1.4873408079147339
U18219,91325,9,2524477,హోండా అమేజ్ కొత్త వెర్షన్,హోండా అమేజ్ కొత్త వెర్షన్,1.4873408079147339
U18219,91325,10,2510782,మారుతి సుజుకి ’న్యూ ఆల్ డిజైర్’ కారు విడుదల,మారుతి సుజుకి ’న్యూ ఆల్ డిజైర్’ కారు విడుదల,1.4725425243377686
U323756,248621,1,318532,ఫేస్బుక్లో కొత్త ఫీచర్,ఫేస్బుక్లో కొత్త ఫీచర్,1.605369210243225
U323756,248621,2,999861,కూల్ ప్యాడ్ కూల్3 స్మార్ట్ఫోన్ విడుదల,కూల్ ప్యాడ్ కూల్3 స్మార్ట్ఫోన్ విడుదల,1.605147361755371
U323756,248621,3,416215,శామ్సంగ్ మడతపెట్టే ఫోన్,శామ్సంగ్ మడతపెట్టే ఫోన్,1.6045476198196411
U323756,248621,4,343610,ఒప్పో ఆర్ 17 స్మార్ట్ఫోన్ విడుదల,ఒప్పో ఆర్ 17 స్మార్ట్ఫోన్ విడుదల,1.6045122146606445
